# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
     398 1.290e-05 1.946e-05 1.461e-05 1.564e-06
     501 1.583e-05 2.647e-05 1.840e-05 2.191e-06
     631 2.115e-05 3.484e-05 2.488e-05 3.048e-06
     794 2.784e-05 4.815e-05 3.308e-05 4.677e-06
    1000 3.546e-05 6.170e-05 4.184e-05 5.548e-06
    1259 4.760e-05 7.693e-05 5.582e-05 6.673e-06
    1585 6.059e-05 8.725e-05 6.747e-05 5.807e-06
    1995 7.954e-05 1.027e-04 8.604e-05 5.433e-06
    2512 1.048e-04 1.722e-04 1.235e-04 1.490e-05
    3162 1.348e-04 2.052e-04 1.551e-04 1.505e-05
    3981 1.722e-04 2.479e-04 2.000e-04 1.861e-05
    5012 2.218e-04 3.095e-04 2.464e-04 1.758e-05
    6310 2.913e-04 3.781e-04 3.265e-04 2.097e-05
    7943 3.742e-04 4.899e-04 4.167e-04 2.612e-05
   10000 4.852e-04 5.904e-04 5.249e-04 2.219e-05
   12589 6.302e-04 7.618e-04 6.817e-04 2.888e-05
   15849 8.216e-04 1.142e-03 9.354e-04 7.894e-05
   19953 1.032e-03 1.483e-03 1.192e-03 1.153e-04
   25119 1.385e-03 1.653e-03 1.463e-03 6.892e-05
   31623 1.811e-03 2.206e-03 1.938e-03 9.524e-05
   39811 2.262e-03 2.917e-03 2.463e-03 1.508e-04
   50119 2.910e-03 3.617e-03 3.178e-03 1.746e-04
   63096 3.867e-03 4.618e-03 4.069e-03 1.649e-04
   79433 4.971e-03 6.081e-03 5.329e-03 2.525e-04
  100000 6.417e-03 8.416e-03 7.074e-03 4.883e-04
  125893 8.248e-03 1.041e-02 8.900e-03 5.225e-04
  158489 1.062e-02 1.375e-02 1.158e-02 7.820e-04
  199526 1.314e-02 1.580e-02 1.397e-02 5.384e-04
  251189 1.746e-02 1.959e-02 1.809e-02 5.163e-04
  316228 2.212e-02 3.042e-02 2.325e-02 1.244e-03
  398107 2.862e-02 2.981e-02 2.904e-02 2.335e-04
  501187 3.488e-02 3.777e-02 3.688e-02 5.990e-04
  630957 4.475e-02 4.830e-02 4.724e-02 7.093e-04
  794328 5.862e-02 6.192e-02 6.089e-02 5.634e-04
#------- --------- --------- --------- ---------


# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.650e-07 1.126e-06 7.862e-07 1.967e-07
      13 7.220e-07 1.150e-06 8.359e-07 7.788e-08
      16 6.880e-07 1.294e-06 9.100e-07 2.256e-07
      20 9.140e-07 1.102e-06 9.555e-07 2.584e-08
      25 1.011e-06 1.279e-06 1.066e-06 3.636e-08
      32 7.790e-07 1.539e-06 1.111e-06 2.903e-07
      40 1.142e-06 1.701e-06 1.364e-06 1.572e-07
      50 1.405e-06 1.594e-06 1.483e-06 3.832e-08
      63 1.642e-06 1.922e-06 1.766e-06 6.169e-08
      79 2.020e-06 3.339e-06 2.330e-06 4.013e-07
     100 2.599e-06 3.952e-06 2.985e-06 3.726e-07
     126 3.510e-06 4.329e-06 3.766e-06 1.938e-07
     158 4.561e-06 6.125e-06 5.146e-06 3.451e-07
     200 5.769e-06 7.734e-06 6.510e-06 5.603e-07
     251 7.373e-06 1.154e-05 8.158e-06 7.410e-07
     316 9.941e-06 1.325e-05 1.095e-05 7.827e-07
     398 1.283e-05 1.892e-05 1.406e-05 9.217e-07
     501 1.670e-05 2.224e-05 1.823e-05 1.134e-06
     631 2.223e-05 2.822e-05 2.416e-05 1.245e-06
     794 2.892e-05 3.979e-05 3.209e-05 2.125e-06
    1000 3.699e-05 4.967e-05 4.069e-05 2.228e-06
    1259 4.952e-05 6.636e-05 5.327e-05 2.243e-06
    1585 6.467e-05 8.653e-05 7.131e-05 4.587e-06
    1995 8.441e-05 1.061e-04 9.047e-05 3.830e-06
    2512 1.106e-04 1.373e-04 1.196e-04 6.197e-06
    3162 1.455e-04 1.750e-04 1.565e-04 6.577e-06
    3981 1.869e-04 2.194e-04 2.006e-04 7.544e-06
    5012 2.478e-04 2.768e-04 2.592e-04 6.169e-06
    6310 3.208e-04 3.702e-04 3.427e-04 1.052e-05
    7943 4.111e-04 4.770e-04 4.411e-04 1.397e-05
   10000 5.426e-04 5.988e-04 5.668e-04 1.217e-05
   12589 7.179e-04 7.935e-04 7.513e-04 1.691e-05
   15849 8.902e-04 1.084e-03 9.519e-04 4.898e-05
   19953 1.197e-03 1.428e-03 1.275e-03 6.560e-05
   25119 1.585e-03 1.866e-03 1.659e-03 6.755e-05
   31623 2.049e-03 2.367e-03 2.119e-03 7.928e-05
   39811 2.634e-03 3.028e-03 2.705e-03 8.575e-05
   50119 3.465e-03 3.963e-03 3.536e-03 8.826e-05
   63096 4.431e-03 5.050e-03 4.498e-03 8.259e-05
   79433 5.695e-03 6.440e-03 5.772e-03 6.722e-05
  100000 7.453e-03 8.005e-03 7.534e-03 6.360e-05
